Query 1
id = 22932   score = 1.287376
id = 12528   score = 1.265051
id = 9004   score = 1.261882
id = 4183   score = 1.260314
id = 1100   score = 1.256984
id = 29906   score = 1.247732
id = 8732   score = 1.242990
id = 8981   score = 1.238477
id = 16147   score = 1.238019
id = 10644   score = 1.231122
id = 14150   score = 1.224273
id = 29529   score = 1.222969
id = 716   score = 1.219843
id = 29745   score = 1.219682
id = 23365   score = 1.219323
id = 7519   score = 1.215318
id = 15363   score = 1.212739
id = 139   score = 1.205770
id = 5070   score = 1.203823
id = 18049   score = 1.203764

Query 2
id = 9626   score = 1.311417
id = 20961   score = 1.277941
id = 23531   score = 1.277208
id = 6910   score = 1.247759
id = 17416   score = 1.246064
id = 3026   score = 1.245285
id = 24790   score = 1.241482
id = 29013   score = 1.240153
id = 18004   score = 1.237737
id = 9271   score = 1.232882
id = 29923   score = 1.229932
id = 18977   score = 1.229239
id = 3722   score = 1.213195
id = 5990   score = 1.212192
id = 6760   score = 1.211473
id = 25783   score = 1.208580
id = 26163   score = 1.204224
id = 82   score = 1.187617
id = 150   score = 1.185894
id = 19394   score = 1.185384

Query 3
id = 28400   score = 1.281230
id = 20991   score = 1.257019
id = 28726   score = 1.254610
id = 22731   score = 1.240207
id = 11836   score = 1.239900
id = 1332   score = 1.225066
id = 10176   score = 1.216246
id = 27628   score = 1.201976
id = 7630   score = 1.201934
id = 1522   score = 1.198988
id = 27710   score = 1.197894
id = 11662   score = 1.197778
id = 20360   score = 1.190681
id = 24656   score = 1.186888
id = 5213   score = 1.186703
id = 14490   score = 1.183236
id = 23890   score = 1.182700
id = 3929   score = 1.180836
id = 23349   score = 1.180789
id = 16882   score = 1.178597

Query 4
id = 23821   score = 1.309452
id = 27099   score = 1.307071
id = 18527   score = 1.299487
id = 16332   score = 1.293475
id = 7661   score = 1.267141
id = 6610   score = 1.254015
id = 21325   score = 1.252964
id = 19593   score = 1.249262
id = 6087   score = 1.244795
id = 19770   score = 1.242954
id = 7987   score = 1.241291
id = 16473   score = 1.239779
id = 28307   score = 1.236333
id = 20133   score = 1.226392
id = 8606   score = 1.224911
id = 3238   score = 1.214420
id = 20240   score = 1.213880
id = 10633   score = 1.212212
